filename,document_id,revision,folder_type,subfolder,local_path
D27051 HAL 2 Project Kickoff Meeting Minutes Rev 01.pdf,D27051,1,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D27051 HAL 2 Project Kickoff Meeting Minutes Rev 01.pdf
D27054 Halcyon 2.0 Market Introduction Plan Rev 5.0.docx.pdf,D27054,5,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D27054 Halcyon 2.0 Market Introduction Plan Rev 5.0.docx.pdf
D28446 - Halcyon RJB Expander CDD Rev 1.0.doc (1).pdf,D28446,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D28446 - Halcyon RJB Expander CDD Rev 1.0.doc (1).pdf
D28656 Halcyon 2.0 Business Case.docx.pdf,D28656,,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D28656 Halcyon 2.0 Business Case.docx.pdf
D29012_Halcyon_2.0_User_Assistance_Plan-Rev03.docx.pdf,D29012,3,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D29012_Halcyon_2.0_User_Assistance_Plan-Rev03.docx.pdf
D29317 Halcyon Cooling and Acoustic Component Design Description (CDD) Rev 04.pdf,D29317,4,Design Output Specification,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\D29317 Halcyon Cooling and Acoustic Component Design Description (CDD) Rev 04.pdf
D30241 Halcyon 2.0 Verification Plan Rev2.pdf,D30241,2,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D30241 Halcyon 2.0 Verification Plan Rev2.pdf
D30241 Halcyon 2.0 Verification Plan.pdf,D30241,,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D30241 Halcyon 2.0 Verification Plan.pdf
D30400 Halcyon 2.0 Validation Plan v 2.0.pdf,D30400,2,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D30400 Halcyon 2.0 Validation Plan v 2.0.pdf
D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf
D33048 HAL 4.0 TSCL for SN 3 Rev 23.pdf,D33048,23,Design Validation,Test Environment,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Environment\D33048 HAL 4.0 TSCL for SN 3 Rev 23.pdf
D33095-Rev01-HALCYON2.0 product Traceability Plan.docx.pdf,D33095,1,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D33095-Rev01-HALCYON2.0 product Traceability Plan.docx.pdf
D35096 Component Design Description sMLC Rev 02.docx.pdf,D35096,2,Design Changes,ECNs,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Changes\ECNs\D35096 Component Design Description sMLC Rev 02.docx.pdf
D35851 Hal 2.0 CSP Plan V02.docx.pdf,D35851,2,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D35851 Hal 2.0 CSP Plan V02.docx.pdf
D37670_Halcyon_V2_MR1_User_Assistance_Plan-Rev01.docx.pdf,D37670,2,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D37670_Halcyon_V2_MR1_User_Assistance_Plan-Rev01.docx.pdf
D37671_Halcyon_V2_MR4U_User_Assistance_Plan-Rev01.docx.pdf,D37671,2,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D37671_Halcyon_V2_MR4U_User_Assistance_Plan-Rev01.docx.pdf
D37881 Halcyon SN6 TSCL Rev 24.pdf,D37881,24,Design Validation,Test Environment,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Environment\D37881 Halcyon SN6 TSCL Rev 24.pdf
D37882 Halcyon SN9 TSCL Rev 20.pdf,D37882,20,Design Validation,Test Environment,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Environment\D37882 Halcyon SN9 TSCL Rev 20.pdf
